,COBERTURA,ID_ENTIDAD,ID_MUNICIPIO,ANIO,MES,ID_HORA,ID_MINUTO,ID_DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,ID_EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,NEMUERTO,NEHERIDO,CLASACC,ESTATUS,CITY_STATE,Lat_Lon
246,Municipal,Yucatan,Merida,2017,1,4,25,1,Domingo,Accidente en intersección,Sin accidente en esta zona,Volcadura,1,0,0,0,0,0,0,0,0,0,1,0,0,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
250,Municipal,Yucatan,Merida,2017,1,4,40,1,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,1,1,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,Sí,Se ignora,27,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
251,Municipal,Yucatan,Merida,2017,1,16,0,4,Miércoles,Sin accidente en esta zona,Accidentes en otro camino,Colisión con objeto fijo,1,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Mujer,No,Se ignora,43,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
252,Municipal,Yucatan,Merida,2017,1,21,50,4,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,1,1,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,No,Se ignora,67,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
253,Municipal,Yucatan,Merida,2017,1,6,30,1,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,3,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
254,Municipal,Yucatan,Merida,2017,1,6,20,1,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,1,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,Sí,Se ignora,24,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
255,Municipal,Yucatan,Merida,2017,1,18,55,23,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor0,1,0,0,0,0,0,1,0,0,0,1,0,0,Conductor,Pavimentada,Se fugó,Se ignora,Se ignora,0,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
256,Municipal,Yucatan,Merida,2017,1,15,45,23,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,1,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,No,Se ignora,58,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
257,Municipal,Yucatan,Merida,2017,1,22,50,23,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,1,0,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,No,Se ignora,43,0,0,0,0,0,0,0,0,0,0,0,0,Sólo Daños,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
258,Municipal,Yucatan,Merida,2017,1,20,10,23,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,2,1,0,0,0,0,0,0,0,0,0,0,0,Conductor,Pavimentada,Hombre,No,Se ignora,19,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras definitivas,"Merida, Yucatan","(20.9670759, -89.6237402)"
